figura,ordem,categoria,serie,valor,proveniencia
grafico_6,1,Compliance e gestão de risco,Interacional,236,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,1,Compliance e gestão de risco,Organizacional,315,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,1,Compliance e gestão de risco,Regulatória,339,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,1,Compliance e gestão de risco,Evolutiva,230,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,2,Controles técnicos e avaliação,Técnica,140,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,2,Controles técnicos e avaliação,Interacional,83,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,2,Controles técnicos e avaliação,Organizacional,125,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,2,Controles técnicos e avaliação,Regulatória,129,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,2,Controles técnicos e avaliação,Evolutiva,89,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,3,Accountability e auditoria,Técnica,222,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,3,Accountability e auditoria,Interacional,202,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,3,Accountability e auditoria,Organizacional,250,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,3,Accountability e auditoria,Regulatória,249,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,3,Accountability e auditoria,Evolutiva,206,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,4,"Explicabilidade, confiança e limites",Técnica,109,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,4,"Explicabilidade, confiança e limites",Interacional,136,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,4,"Explicabilidade, confiança e limites",Organizacional,123,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,4,"Explicabilidade, confiança e limites",Regulatória,126,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,4,"Explicabilidade, confiança e limites",Evolutiva,98,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,5,Aprendizagem operacional e monitoramento,Técnica,214,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,5,Aprendizagem operacional e monitoramento,Interacional,192,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,5,Aprendizagem operacional e monitoramento,Organizacional,226,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,5,Aprendizagem operacional e monitoramento,Regulatória,229,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,5,Aprendizagem operacional e monitoramento,Evolutiva,232,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,6,Supervisão humana e escalonamento,Técnica,216,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,6,Supervisão humana e escalonamento,Interacional,201,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,6,Supervisão humana e escalonamento,Organizacional,243,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,6,Supervisão humana e escalonamento,Regulatória,235,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,6,Supervisão humana e escalonamento,Evolutiva,191,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,7,Governança do conhecimento,Técnica,44,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,7,Governança do conhecimento,Interacional,32,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,7,Governança do conhecimento,Organizacional,39,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,7,Governança do conhecimento,Regulatória,41,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,7,Governança do conhecimento,Evolutiva,32,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,8,Contestabilidade e reparo,Técnica,2,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,8,Contestabilidade e reparo,Interacional,3,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,8,Contestabilidade e reparo,Organizacional,3,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,8,Contestabilidade e reparo,Regulatória,3,Coocorrência por estudo na matriz normalizada — v2.1
grafico_6,8,Contestabilidade e reparo,Evolutiva,3,Coocorrência por estudo na matriz normalizada — v2.1
