"id_estudo","titulo","autores","ano","doi","decisao_final","classificacao","proveniencia_tecnica","duplicata_de","arquivo_pdf","pagina_evidencia","corpus"
"CAND-000034__8219c591","Trustworthy Generative AI for Financial Services","Marc-André Zöller; Anastasiia Iurshina; Ines Röder","2024","10.4230/OASIcs.SAIA.2024.2","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000034__8219c591.pdf","1","corpus_analitico_unico_tratado"
"CAND-000035__c8257b71","Large Language Model Company Policies and Policy Implications in Software Organizations","Ranim Khojah; Mazen Mohamad; Linda Erlenhov; Francisco Gomes de Oliveira Neto; Philipp Leitner","2025","10.1109/MS.2025.3622039","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000035__c8257b71.pdf","1","corpus_analitico_unico_tratado"
"CAND-000037__3fdb584a","The flaws of policies requiring human oversight of government algorithms","Ben Green","2022","10.1016/j.clsr.2022.105681","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000037__3fdb584a.pdf","1","corpus_analitico_unico_tratado"
"CAND-000038__29be9f56","Governing Generative AI in Healthcare: A Normative Conceptual Framework for Epistemic Authority, Trust, and the Architecture of Responsibility","Fatma Eren Akgün; Metin Akgün","2026","10.3390/healthcare14081098","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000038__29be9f56.pdf","1","corpus_analitico_unico_tratado"
"CAND-000039__62390369","The EU AI Act: implications and compliance guidance for healthcare facilities","Fabio Dennstädt, Janna Hastings, Paul Windisch, Aleksa Jovanovic, Tijana Žunić Marič, Sarah Brüningk, Daniel M. Aebersold, Antje Knopf, Nikola Cihoric","2026","10.3389/fdgth.2026.1808373","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000039__62390369.pdf","1","corpus_analitico_unico_tratado"
"CAND-000040__02a9bba6","Current applications and challenges in large language models for patient care: a systematic review","Felix Busch, Lena Hoffmann, Christopher Rueger, Elon HC van Dijk, Rawen Kader, Esteban Ortiz-Prado, Marcus R. Makowski, Luca Saba, Martin Hadamitzky, Jakob Nikolas Kather, Daniel Truhn, Renato Cuocolo, Lisa C. Adams, Keno K. Bressem","2024","10.1038/s43856-024-00717-2","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000040__02a9bba6.pdf","1","corpus_analitico_unico_tratado"
"CAND-000042__5d402dcc","unclear","Ignacio Olmeda","2026","10.1057/s41261-026-00320-6","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000042__5d402dcc.pdf","1","corpus_analitico_unico_tratado"
"CAND-000043__cede015d","Navigating the Future of Finance: The Transformative Role of Generative AI","Hassnian Ali; Ahmet Faruk Aysan","2026","10.21098/jcli.v5i1.431","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000043__cede015d.pdf","1","corpus_analitico_unico_tratado"
"CAND-000044__ff93d879","AI ethics in banking services: a systematic and bibliometric review of regulatory and consumer perspectives","McArthur Fundira; Charles Mbohwa","2025","10.1007/s44163-025-00432-4","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000044__ff93d879.pdf","1","corpus_analitico_unico_tratado"
"CAND-000045__9c5651b5","A Guardrail Framework for Sensitive Financial Information Protection: A Taxonomy-Driven Approach","Mehdi Yekrangi; Houssem Chatbri; Claudia Beatrice Chianella; Owen O'Neill","2026","unclear","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000045__9c5651b5.pdf","1","corpus_analitico_unico_tratado"
"CAND-000048__6422227a","ConfidentNeuro: Conformal Prediction-Based Uncertainty Quantification for Hallucination Risk Scoring in LLM-Assisted Alzheimer's Clinical Decision Support","Afreen Khan; Samreen Khan; Mudassir Khan; Mazliham Mohd Su'ud; Muhammad Mansoor Alam; Saurav Mallik","2026","10.21203/rs.3.rs-9707462/v1","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000048__6422227a.pdf","2","corpus_analitico_unico_tratado"
"CAND-000050__a8038c66","Safety-focused development and evaluation of an LLM sexual well-being chatbot for women: A methods-focused feasibility study","Alice E McGee, Guy Parsons, Liudmila Zhaunova, Alison Paul, Aliaksandr Kazlou, Yihan Xu, Heorhi Stsefanovich, Anna Klepchukova, András Meczner","2026","10.1177/20552076261435861","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000050__a8038c66.pdf","1","corpus_analitico_unico_tratado"
"CAND-000056__ab00b4d6","Generative AI Chatbot for Diabetes Management: Formative 2-Part Qualitative Study Using DTalksBot Involving Patients and Clinicians","Soyun Jeon; Seolhee Lee; Esther Hehsun Kim; Jinsu Eun; Kwangwon Lee; Hajin Lim; Joonhwan Lee","2025","10.2196/72553","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000056__ab00b4d6.pdf","1","corpus_analitico_unico_tratado"
"CAND-000060__4ee48a26","Trustworthy Embodied Conversational Agents for Healthcare: A Design Exploration of Embodied Conversational Agents for the periconception period at Erasmus MC","Maria Luce Lupetti, Emma Hagens, Willem van der Maden, Régine Steegers, Melek Rousian","2023","10.1145/3571884.3597128","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000060__4ee48a26.pdf","1","corpus_analitico_unico_tratado"
"CAND-000062__461df7f0","On the Quest for Effectiveness in Human Oversight: Interdisciplinary Perspectives","Sarah Sterz; Kevin Baum; Sebastian Biewer; Holger Hermanns; Anne Lauber-Rönsberg; Philip Meinel; Markus Langer","2024","10.1145/3630106.3659051","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000062__461df7f0.pdf","1","corpus_analitico_unico_tratado"
"CAND-000063__0222ae7e","Effective Human Oversight of AI-Based Systems: A Signal Detection Perspective on the Detection of Inaccurate and Unfair Outputs","Markus Langer; Kevin Baum; Nadine Schlicker","2025","10.1007/s11023-024-09701-0","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000063__0222ae7e.pdf","1","corpus_analitico_unico_tratado"
"CAND-000072__a83b171c","Inteligência artificial, precedentes e a Resolução CNJ 615/2025","Anderson de Paiva Gabriel; Fabio Ribeiro Porto; Valter Shuenquener de Araújo","2025","10.70622/2236-8957.2025.649","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000072__a83b171c.pdf","1","corpus_analitico_unico_tratado"
"CAND-000073__9dc791fa","Technical, legal, and ethical challenges of generative artificial intelligence: an analysis of the governance of training data and copyrights","Marcelo Pasetti; James William Santos; Nicholas Kluge Corrêa; Nythamar de Oliveira; Camila Palhares Barbosa","2025","10.1007/s44163-025-00379-6","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000073__9dc791fa.pdf","1","corpus_analitico_unico_tratado"
"CAND-000080__d3fb71b1","An agentic AI framework for ingestion and standardization of single-cell RNA-seq data analysis","Nima Nouri, Ronen Artzi, Virginia Savova","2026","10.1038/s44387-025-00064-0","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000080__d3fb71b1.pdf","2","corpus_analitico_unico_tratado"
"CAND-000082__53e5dc7a","Assessing the User Experience of an LLM-Based Conversational Assistant in Diabetes Mellitus Care","Vasco Furtado, Jorge Araujo, Elizabeth S. Furtado, Rafael Bomfim, Vitória Silva, Nickolas Mororó, Lucas Vasconcelos, Cecília Carvalho, Marcos Severo, Juliana Torres, Juliana Oliveira, Antonio Bruno Freitas","2025","10.1007/s41666-025-00217-5","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000082__53e5dc7a.pdf","1","corpus_analitico_unico_tratado"
"CAND-000102__a4826aa7","Generative AI in healthcare: an implementation science informed translational path on application, integration and governance","Sandeep Reddy","2024","10.1186/s13012-024-01357-9","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000102__a4826aa7.pdf","1","corpus_analitico_unico_tratado"
"CAND-000137__a94137df","AI-enabled clinical decision support in breast cancer care: a blinded multicenter benchmarking study comparing medically specialized with a general-purpose system","Jonas Freudenberg, Johannes Knitza, Niklas Gremke, Niklas Amann, Thomas M. Deutsch, Nikolas Tauber, Kerstin Muras, Zoe S. Oftring, Tobias Engler, Alexander Englisch, Stefan Lukac, Adriano Fabi, André S. Alves, Kristin Reinhardt, Markus Wallwiener, Moritz Kuhlmann, Jonathan Bamberger, Uwe Wagner, Sebastian Kuhn, Sebastian Griewing","2026","10.1007/s10916-026-02434-w","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000137__a94137df.pdf","1","corpus_analitico_unico_tratado"
"CAND-000159__32d2e41d","Balancing innovation and risk: artificial intelligence in travel medicine","Perry J. J. van Genderen","2026","10.1186/s40794-026-00309-z","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000159__32d2e41d.pdf","1","corpus_analitico_unico_tratado"
"CAND-000163__f72f88c1","Enterprise Generative AI: A Systematic Review of Security Risks and Governance","Audrey Rah","2026","10.21203/rs.3.rs-9890887/v1","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000163__f72f88c1.pdf","2","corpus_analitico_unico_tratado"
"CAND-000166__a9294e17","Mapping the use of large language models in hiring decisions: a scoping review","Arpit Tripathi, Ankit Tripathi, Frantisek Darena, Pawan Kumar Mishra","2026","10.3389/frai.2026.1798519","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000166__a9294e17.pdf","1","corpus_analitico_unico_tratado"
"CAND-000167__489170e7","Cybersecurity and Privacy Risks of Generative AI Mental-Health Chatbots: A Systematic Review and Regulatory Framework","Suhila Sawesi, Hemalatha Sabbineni, Rajashekhar Reddy Shagamreddy, Budur Rashrash","2026","10.2147/JMDH.S581251","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000167__489170e7.pdf","1","corpus_analitico_unico_tratado"
"CAND-000169__5630aa10","Retrieval-Augmented Generation (RAG), Generative AI, and Agentic AI Governance: An Integrated Enterprise Governance Prioritization Architecture","Audrey Rah; Sven Hahues","2026","10.21203/rs.3.rs-10012178/v1","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000169__5630aa10.pdf","1","corpus_analitico_unico_tratado"
"CAND-000170__3973d4b5","Generative AI in Medicine and Healthcare: A Comprehensive Review of Foundational Technologies, Clinical Applications, and Future Perspectives","Tomoshige Nakamura, Wataru Uchida, Akira Yamamoto, Shigeki Aoki","2026","10.14789/ejmj.JMJ25-0036-R","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000170__3973d4b5.pdf","1","corpus_analitico_unico_tratado"
"CAND-000171__3c8ac09d","Privacy-by-Design Framework for Large Language Model Chatbots in Urology","Eun Joung Kim; JungYoon Kim","2025","10.5213/inj.2550274.137","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000171__3c8ac09d.pdf","1","corpus_analitico_unico_tratado"
"CAND-000172__c4eb8ecc","Expert perspectives on the ecosystem of medical AI oversight in the GenAI era","Stephen Gilbert; Tinglong Dai","2026","10.1038/s41746-026-02785-1","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000172__c4eb8ecc.pdf","1","corpus_analitico_unico_tratado"
"CAND-000173__af0d8373","Development and validation of an artificial intelligence proof-of-concept tool for risk-based quality assessment of generic medicines: a South African case study","Danks, L.; Semete-Makokotlela, B.; Reynecke, C.; Dijeng, S.; Kgosietsile, B.; van Tonder, J.; van Graan, C.; Hinch, J.; Kruger, A.; Walker, S.; Salek, S.","2026","10.3389/fmed.2026.1811333","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000173__af0d8373.pdf","1","corpus_analitico_unico_tratado"
"CAND-000176__d5002468","A review for navigating the trade-offs: evaluating open-source and proprietary large language models for clinical and biomedical information extraction","Sugihara, Y.; Milosavljevic, A.; Jankovskaja, S.; Falk, M.","2026","10.3389/fdgth.2026.1778786","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000176__d5002468.pdf","1","corpus_analitico_unico_tratado"
"CAND-000177__90ef9569","AI-driven framework for contract risk automation and compliance in Oracle CPQ","Rajesh Soma","2026","10.1038/s41598-026-55942-7","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000177__90ef9569.pdf","1","corpus_analitico_unico_tratado"
"CAND-000230__f9e04498","From principles to practice: a novel matrix for evaluating AI-powered learning platforms based on the UNESCO Ethical Impact Assessment tool","Rima J. Isaifan, Ayman Tawalbeh, Mazen O. Hasna","2025","10.3389/feduc.2025.1640780","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000230__f9e04498.pdf","1","corpus_analitico_unico_tratado"
"CAND-000232__44ed0b15","LLM-Powered Observability Enhancing Monitoring and Diagnostics","Premkumar Ganesan","2024","10.51219/JAIMLD/premkumar-ganesan/304","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000232__44ed0b15.pdf","1","corpus_analitico_unico_tratado"
"CAND-000235__f629befe","Model Context Protocol: Enhancing LLM Performance for Observability and Analytics","Narendra Reddy Sanikommu","2025","10.37745/ejcsit.2013/vol13n29112126","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000235__f629befe.pdf","1","corpus_analitico_unico_tratado"
"CAND-000236__fc012562","An Integrated Observability Intelligence Framework: Bridging Semantic Data Modeling, Caching, and LLM-Powered Multi-Agent Root Cause Analysis","Chris Zhang; Kevin Coleman","2026","10.21203/rs.3.rs-9777036/v1","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000236__fc012562.pdf","2","corpus_analitico_unico_tratado"
"CAND-000246__e1e9c6d5","Methodological foundations of AI observability for enterprise LLM applications","Venkatesh Gundu","2025","10.18535/ijecs/v14i10.5277","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000246__e1e9c6d5.pdf","1","corpus_analitico_unico_tratado"
"CAND-000249__08d85b6f","Observability for LLM apps: what to log, privacy-safe telemetry, KPIs","Prasad Maderamitla; Subba Rao Katragadda","2026","10.32996/fcsai","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000249__08d85b6f.pdf","1","corpus_analitico_unico_tratado"
"CAND-000255__d65d93a4","A Trustworthy AI and Data Governance Architecture for Ensuring Integrity and Ethics in Large Language Model Deployments across Enterprise Platforms","Minjun Park, Hiroshi Tanaka, Wei Chen, Jaehoon Kim, Ananya Kulkarni","2024","10.32628/IJSRSET242437","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000255__d65d93a4.pdf","1","corpus_analitico_unico_tratado"
"CAND-000256__46108cdf","From Deterministic Pipelines to Intelligent Orchestration: A Transformer-Driven Framework for LLM-Augmented DevOps Automation","Shekar Vollem","2024","10.15662/IJRPETM.2024.0701009","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000256__46108cdf.pdf","1","corpus_analitico_unico_tratado"
"CAND-000303__bea97d47","ChatGPT in medicine: an overview of its applications, advantages, limitations, future prospects, and ethical considerations","Tirth Dave, Sai Anirudh Athaluri, Satyam Singh","2023","10.3389/frai.2023.1169595","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000303__bea97d47.pdf","1","corpus_analitico_unico_tratado"
"CAND-000310__f9dbad49","Generative AI in Medical Practice: In-Depth Exploration of Privacy and Security Challenges","Yan Chen; Pouyan Esmaeilzadeh","2024","10.2196/53008","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000310__f9dbad49.pdf","1","corpus_analitico_unico_tratado"
"CAND-000314__4aed42e3","AI and ethics: Investigating the first policy responses of higher education institutions to the challenge of generative AI","Attila Dabis; Csaba Csáki","2024","10.1057/s41599-024-03526-z","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000314__4aed42e3.pdf","1","corpus_analitico_unico_tratado"
"CAND-000323__025f3e29","Generative LLM Powered Conversational AI Application for Personalized Risk Assessment: A Case Study in COVID-19","Mohammad Amin Roshani, Xiangyu Zhou, Yao Qiang, Srinivasan Suresh, Steve Hicks, Usha Sethuraman, Dongxiao Zhu","2024","10.2196/preprints.67363","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000323__025f3e29.pdf","1","corpus_analitico_unico_tratado"
"CAND-000347__b299e4f4","Agentic AI systems in electrical power systems engineering: current state-of-the-art and challenges","Soham Ghosh; Gaurav Mittal","2026","10.3389/frai.2026.1814651","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000347__b299e4f4.pdf","1","corpus_analitico_unico_tratado"
"CAND-000348__7df34e9d","Clinical artificial intelligence (AI) in Japan: Regulatory pathways, domain-specific evidence, and its data infrastructure from an international perspective","Kenji Karako; Wei Tang","2026","10.35772/ghm.2026.01048","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000348__7df34e9d.pdf","1","corpus_analitico_unico_tratado"
"CAND-000356__6afac0ca","Conversational Artificial Intelligence in Medical Education: A Scoping Review","Tasniya Aktar, Robert J. Farquhar, Chris Jacobs","2026","10.7759/cureus.107391","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000356__6afac0ca.pdf","1","corpus_analitico_unico_tratado"
"CAND-000358__c1d0c8ae","Conversational AI for perinatal mental health: promise, limits, and a human-AI stepped-care framework","Haiyan Yang and Dong-Mei Lin","2026","10.3389/fpsyt.2026.1847854","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000358__c1d0c8ae.pdf","1","corpus_analitico_unico_tratado"
"CAND-000361__3c0c5e12","Leveraging chatbots for enhanced decision-making: a comprehensive literature review","Phiwe M. Simelane; Javeed Kittur","2026","10.3389/frai.2026.1748544","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000361__3c0c5e12.pdf","1","corpus_analitico_unico_tratado"
"CAND-000368__82e661f3","Large language models in patient education for brain tumors: opportunities, risks, and ethical considerations","Rafail C. Christodoulou, Platon S. Papageorgiou, Ana Carolina Lucio Pereira, Elena E. Solomou, Sokratis G. Papageorgiou, Evros Vassiliou, Michalis F. Georgiou","2026","10.3389/fonc.2026.1795441","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000368__82e661f3.pdf","1","corpus_analitico_unico_tratado"
"CAND-000370__6d537d0e","Use of Artificial Intelligence in Public Health Education for Pandemic Preparedness and Response","Souza ECSG, dos Santos Junior AG, Félix AMS, Assunção Borges JP, de Oliveira LB, Carneiro LM, de Sousa AFL","2026","10.5334/aogh.5130","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000370__6d537d0e.pdf","1","corpus_analitico_unico_tratado"
"CAND-000394__ec64aec9","AI Governance Control Stack for Operational Stability: Achieving Hardened Governance in AI Systems","Horatio Morgan Morgan","2026","unclear","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000394__ec64aec9.pdf","1","corpus_analitico_unico_tratado"
"CAND-000395__c6584b04","Governed AI-Assisted Engineering: Graduated Human Oversight for Agentic Code Generation in Regulated Domains","Richard Kang","2025","unclear","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000395__c6584b04.pdf","1","corpus_analitico_unico_tratado"
"CAND-000399__dd91bdfd","PALLM: Evaluating and Enhancing PALLiative Care Conversations with Large Language Models","Zhiyuan Wang, Fangxu Yuan, Virginia LeBaron, Tabor Flickinger, Laura E. Barnes","2024","unclear","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000399__dd91bdfd.pdf","1","corpus_analitico_unico_tratado"
"CAND-000403__76231030","Towards an AI Observatory for the Nuclear Sector: A tool for anticipatory governance","Aditi Verma; Elizabeth Williams","2025","unclear","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000403__76231030.pdf","1","corpus_analitico_unico_tratado"
"CAND-000404__bc9b6145","Secure Human Oversight of AI: Threat Modeling in a Socio-Technical Context","Ditz, J. C., Lazar, V., Lichtmeß, E., Plesch, C., Heck, M., Baum, K., & Langer, M.","2026","unclear","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000404__bc9b6145.pdf","1","corpus_analitico_unico_tratado"
"CAND-000406__21a350de","Does My Chatbot Have an Agenda? Understanding Human and AI Agency in Human-Human-like Chatbot Interaction","Bhada Yun; Evgenia Taranova; April Yi Wang","2026","unclear","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000406__21a350de.pdf","1","corpus_analitico_unico_tratado"
"CAND-000417__4cf8f1f2","A comprehensive review of large language models: issues and solutions in learning environments","Tariq Shahzad; Tehseen Mazhar; Muhammad Usman Tariq; Wasim Ahmad; Khmaies Ouahada; Habib Hamam","2025","10.1007/s43621-025-00815-8","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000417__4cf8f1f2.pdf","1","corpus_analitico_unico_tratado"
"CAND-000422__3ee816fd","Trust Layers: AI-Augmented Multi-Layer Risk Compliance Engines for Next-Gen Banking Infrastructure","Srinivasarao Paleti","2023","10.53555/kuey.v29i4.9788","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000422__3ee816fd.pdf","1","corpus_analitico_unico_tratado"
"CAND-000426__74eb248d","The Role of Generative AI in Enhancing Customer Experience and Risk Management in Credit Card Services","Abhishek Dodda","2022","10.38124/ijsrmt.v1i12.491","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000426__74eb248d.pdf","1","corpus_analitico_unico_tratado"
"CAND-000430__f1fa26de","Chatbots: Security, privacy, data protection, and social aspects","Martin Hasal; Jana Nowaková; Khalifa Ahmed Saghair; Hussam Abdulla; Václav Snášel; Lidia Ogiela","2021","10.1002/cpe.6426","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000430__f1fa26de.pdf","1","corpus_analitico_unico_tratado"
"CAND-000451__83eba9cc","Ethical and Legal Governance of Generative AI in Chinese Healthcare","Jinrun Jia, Shiqiao Zhao","2025","10.2147/JMDH.S541271","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000451__83eba9cc.pdf","1","corpus_analitico_unico_tratado"
