figura,ordem,categoria,serie,valor,proveniencia
grafico_6,1,Compliance and risk management,Regulatory,339,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,1,Compliance and risk management,Evolutionary,230,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,2,Technical controls and evaluation,Technical,140,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,2,Technical controls and evaluation,Interactional,83,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,2,Technical controls and evaluation,Organizational,125,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,2,Technical controls and evaluation,Regulatory,129,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,2,Technical controls and evaluation,Evolutionary,89,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,3,Accountability and auditing,Technical,222,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,3,Accountability and auditing,Interactional,202,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,3,Accountability and auditing,Organizational,250,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,3,Accountability and auditing,Regulatory,249,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,3,Accountability and auditing,Evolutionary,206,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,4,"Explainability, trust and limits",Technical,109,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,4,"Explainability, trust and limits",Interactional,136,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,4,"Explainability, trust and limits",Organizational,123,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,4,"Explainability, trust and limits",Regulatory,126,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,4,"Explainability, trust and limits",Evolutionary,98,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,5,Operational learning and monitoring,Technical,214,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,5,Operational learning and monitoring,Interactional,192,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,5,Operational learning and monitoring,Organizational,226,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,5,Operational learning and monitoring,Regulatory,229,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,5,Operational learning and monitoring,Evolutionary,232,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,6,Human oversight and escalation,Technical,216,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,6,Human oversight and escalation,Interactional,201,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,6,Human oversight and escalation,Organizational,243,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,6,Human oversight and escalation,Regulatory,235,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,6,Human oversight and escalation,Evolutionary,191,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,7,Knowledge governance,Technical,44,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,7,Knowledge governance,Interactional,32,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,7,Knowledge governance,Organizational,39,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,7,Knowledge governance,Regulatory,41,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,7,Knowledge governance,Evolutionary,32,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,8,Contestability and redress,Technical,2,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,8,Contestability and redress,Interactional,3,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,8,Contestability and redress,Organizational,3,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,8,Contestability and redress,Regulatory,3,Study-level co-occurrence in normalized matrix — v2.2
grafico_6,8,Contestability and redress,Evolutionary,3,Study-level co-occurrence in normalized matrix — v2.2
