"identificador","titulo","decisao_checkpoint","classificacao_final","integra_universo_407","origem_classificacao","duplicata_de","justificativa","evidencia_adjudicacao","pagina_evidencia","arquivo_pdf","hash_pdf"
"CAND-000016__724f80fd","A dynamic contextual responsibility framework for evaluating large language models in socio-technical contexts","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article directly addresses LLM responsibility, accountability, governance mechanisms, and regulatory alignment in sensitive domains such as healthcare, law, and education. It is highly relevant to governance and risk in regulated LLM deployment, but the provided text does not establish a primary focus on conversational systems, chatbots, agents, or conversational governance mechanisms.","","","CAND-000016__724f80fd.pdf","e91808d8dd3f8bc3ee2784a1eff899b3a3e03ac01e972bfdf71b21adb10138b5"
"CAND-000017__5a191022","AI Safety Landscape for Large Language Models: Taxonomy, State-of-the-art, and Future Directions","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The paper is a comprehensive AI safety survey for LLMs proposing a three-layer architectural framework (Trustworthy AI, Responsible AI, Ecosystemic Safe AI). It strongly addresses LLM governance, risk, accountability, transparency, and deployment safety, but the provided text does not center conversational systems, chatbots, or conversational governance mechanisms. It is best used as foundational contextual mapping rather than central conversational-governance evidence.","","","CAND-000017__5a191022.pdf","3c1c21780ff5948c39dca7ec800a579ded130182cac3d29661ca3a93fcbfb88e"
"CAND-000019__02182ebc","Ethical Governance of Large Language Models in Health Care: Trust, Responsibility, and Equity in Routine Use","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","Viewpoint provides a conceptual framework for ethical governance of LLMs in health care, emphasizing trust, distributed responsibility, equity, contestation, and system-level oversight during routine adoption. Strong alignment with governance and regulated-domain themes, but text provided does not center conversational systems, chatbots, agents, or operational controls such as guardrails, logging, tracing, or audit tooling.","","","CAND-000019__02182ebc.pdf","aef1c4cf4174e09b6998ad27ab614b36ce04eca138e281637db61ed82bc4c992"
"CAND-000020__267195f0","Advancing healthcare AI governance through a comprehensive maturity model based on systematic review","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article is a systematic review that synthesizes 35 healthcare AI governance frameworks into seven domains and the HAIRA five-level maturity model. It strongly addresses governance, risk, monitoring, compliance, ethics, and regulated healthcare contexts, but evidence shows only generic generative AI and LLM mentions as a limitation of reviewed frameworks rather than a primary focus on conversational or LLM-based systems.","","","CAND-000020__267195f0.pdf","f95b1dda69bb32314a9ded07ca6d2cfa81e7625d7da024f9a870040d95f58ea6"
"CAND-000021__dd66cb05","Large Language Model–Based Chatbots and Agentic AI for Mental Health Counseling: Systematic Review of Methodologies, Evaluation Frameworks, and Ethical Safeguards","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article is a PRISMA-based systematic review that explicitly synthesizes methodologies, evaluation practices, and ethical or governance frameworks of LLM-based mental health counseling chatbots. It is highly relevant to conversational AI governance in a regulated healthcare domain, but it is secondary evidence synthesizing 20 primary studies rather than reporting original governance implementation or operational controls.","","","CAND-000021__dd66cb05.pdf","8473c1a94da210b3a5ba7e3a0197c407e6af809676975c84be8b890de06f814b"
"CAND-000022__87095cb8","Barriers and Facilitators to the Use of Large Language Model-Based Conversational Agents in Mental Healthcare: A Systematic Review","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","Peer-reviewed systematic review directly synthesizing barriers and facilitators to LLM-based conversational agents in mental healthcare, with explicit recommendations for human-in-the-loop oversight, safety certification, and regulatory/safety evaluation frameworks (e.g., California SB 243, VERA-MH, CAPE-II). Highly relevant to conversational AI governance in a regulated domain, though primary analytic lens is CFIR implementation science rather than a dedicated conversational governance architecture.","","","CAND-000022__87095cb8.pdf","cd5be1b74b93206709eb0037709bdd4c32b641f32672ae4c2fb921daf97d7eb4"
"CAND-000023__664064c6","From Documents to Decisions: Enterprise-Grade LLM Systems for Zero-Hallucination, Attributed Generation, and Regulatory Alignment","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article is a 2026 peer-reviewed review focused on enterprise-grade LLM governance, traceability, accountability, RAG, and regulatory alignment in high-risk contexts. It strongly matches governance, audit, compliance, and regulated-domain dimensions, but conversational governance is only peripheral via contrast with consumer chatbots rather than being the central object of study.","","","CAND-000023__664064c6.pdf","c66fba11ca3ac295e7f1c6b61d89a2819cea5594c40a06cd4542cff7c0804eec"
"CAND-000024__9a09b906","Trust and Ethics in Chatbots: A Framework for Responsible AI Interactions","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The article directly addresses responsible AI governance for chatbots, including oversight, fairness, accountability, privacy, auditability, explainability, and continuous monitoring, with application contexts in education, healthcare, and customer service. Although the reported empirical evaluation centers on intent-pattern chatbot performance rather than explicit LLM deployment governance, the framework and governance mechanisms align closely with the review scope on conversational AI in sensitive settings.","","","CAND-000024__9a09b906.pdf","7b9973774a11788ce4c331bc92a2b74491de3f09d9ef6d53dfdcd5cf54169bc9"
"CAND-000025__c8bbc63b","Large language models for clinical artificial intelligence in healthcare: a systematic review","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article is a peer-reviewed systematic review of LLMs and MLLMs in healthcare that explicitly addresses ethical governance frameworks, deployment, RAG, multi-agent workflows, hallucinations, bias, privacy, and regulatory compliance. It aligns with regulated-domain LLM governance themes but the available text does not establish conversational AI or conversational governance as a primary focus; it appears broader clinical LLM synthesis rather than central evidence on conversational governance.","","","CAND-000025__c8bbc63b.pdf","2ae228ce7fffd26442b81dcfc212ecd479943b03b84f18a820ffa6b7b5594d17"
"CAND-000026__058be75c","Moral Perception and Uncertainty Expression in LLM-Augmented Judicial Practice","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article directly addresses LLM augmentation in judicial practice and argues for governance-relevant design of uncertainty expression beyond quantitative calibration. It is strongly situated in a regulated legal domain and engages ethics, moral perception, and human participation, but the provided text frames judicial support/augmentation tools rather than conversational systems, chatbots, agents, RAG, or operational governance mechanisms such as logging, tracing, audit, or compliance workflows.","","","CAND-000026__058be75c.pdf","3ac04680bc860a5fbd566a239a4b9230f64f1c2e20431d681437d9e75809cce1"
"CAND-000027__b0ec7058","Ethical Considerations in Personal Health Large Language Models","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The article is a viewpoint focused on text-based, dialogue-driven PH-LLMs in consumer health contexts and proposes a governance framework across privacy, accuracy, equity, transparency, human-AI interaction, and regulatory governance, with implementation mechanisms such as risk-tiered certification, tiered accountability, and postdeployment oversight.","","","CAND-000027__b0ec7058.pdf","3c3b53f12acbd8b284e45f514335ccd6bb567398d368768d1ce048727230f40b"
"CAND-000028__cc541f1f","Personal Health Large Language Models and the Negotiation of Medical Authority in Clinical Care: Opportunities, Risks, and Governance","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","Viewpoint article explicitly addressing patient-facing PH-LLMs as conversational systems in clinical care, proposing a 3-layer clinical governance framework covering provenance, clinical arbitration, escalation, accountability, privacy, and risk in a regulated health context.","","","CAND-000028__cc541f1f.pdf","237205a9356314a1f4e3cfc85da70239131a7ac9d2ad44d1e563b0cb227ed20a"
"CAND-000029__e9698737","Review Applications and Concerns of ChatGPT and Other Conversational Large Language Models in Health Care: Systematic Review","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article is a PRISMA-based systematic review of conversational LLMs in health care that synthesizes applications and concern categories including reliability, interpretability, bias, and privacy. It is highly relevant to regulated conversational AI risks, but the provided text frames applications and concerns rather than operational conversational governance mechanisms such as guardrails, audit, tracing, or human oversight.","","","CAND-000029__e9698737.pdf","07601d6e5fd3c9bae0ef31a412e9f2f2c37120b8cea736b89568536cc6687389"
"CAND-000030__03b93195","A systematic review of ethical considerations of large language models in healthcare and medicine","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article is a peer-reviewed systematic review of ethical considerations of LLMs in clinical healthcare, directly relevant to governance themes such as accountability, transparency, bias, fairness, privacy, and safety. However, the provided text centers on ethical issues and a provisional ethical integration framework rather than conversational governance, chatbots, guardrails, observability, audit logs, or human oversight in conversational systems. It is best treated as supporting evidence for regulated LLM governance rather than central evidence on conversational governance.","","","CAND-000030__03b93195.pdf","b93dfc1d039367cca5171b3ea7337f140617b71acfbf3f7705ab72123382e956"
"CAND-000031__1ce54e80","Standardizing and Scaffolding Health Care AI-Chatbot Evaluation: Systematic Review","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The article is a PRISMA-guided systematic review that synthesizes existing frameworks into HAICEF, a structured evaluation scaffold for health care chatbots in a regulated health context. It explicitly addresses generative AI, conversational agents, safety, privacy, fairness, transparency, accountability, compliance, and responsible implementation.","","","CAND-000031__1ce54e80.pdf","d7b52dd08dd5fd9e93661580c9fc97a7f4b21edd9e3d50801570376caddaef4d"
"CAND-000032__3edeb416","Large Language Models for Chatbot Health Advice Studies: A Systematic Review","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article is a peer-reviewed systematic review of 137 primary studies on LLM-driven health advice chatbots in health care. It directly addresses chatbots, LLMs, and regulated clinical integration, and reports that fewer than one-third of primary studies addressed ethical, regulatory, and patient safety implications. Its primary focus is reporting variability and CHART development rather than conversational governance mechanisms, so it is best used as supporting evidence on governance-related reporting gaps in the literature.","","","CAND-000032__3edeb416.pdf","324de04365c254c5ecdd934a4d885907243d3ba077aadea9e04d6298b9aede62"
"CAND-000033__f793b235","From COBIT to ISO 42001: Evaluating Cybersecurity Frameworks for Opportunities, Risks, and Regulatory Compliance in Commercializing Large Language Models","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The study directly addresses AI governance, LLM risk oversight, regulatory compliance, and human-expert-in-the-loop validation across major GRC frameworks, but the provided text contains no evidence of conversational systems, chatbots, agents, or conversational governance mechanisms.","","","CAND-000033__f793b235.pdf","4b54b8ab4f63d7da9ad4b823a61d20347d2d17e6fa160b7fb1159fbdae146a7f"
"CAND-000034__8219c591","Trustworthy Generative AI for Financial Services","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The paper directly addresses trustworthy GenAI governance for regulated financial services through guardrails, privacy, grounding, compliance, and audit-related use cases, but the provided text does not substantively address conversational systems, chatbots, or conversational governance mechanisms.","","","CAND-000034__8219c591.pdf","aaeda1a044ad7726958ffe90c5184316b684183b0e23c81a539608a241e14ecd"
"CAND-000035__c8257b71","Large Language Model Company Policies and Policy Implications in Software Organizations","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article directly addresses governance of LLM chatbots through organizational company policies, accountability, security, privacy, legal risk, and trust in software organizations. However, the provided text focuses on software engineering organizational policy rather than conversational governance in explicitly regulated high-stakes domains such as health, finance, or public sector, limiting fit as central evidence for the review scope.","","","CAND-000035__c8257b71.pdf","b5173807c73297c3cf6ef261fb86150b646472f682949bc3466db3a81051944d"
"CAND-000037__3fdb584a","The flaws of policies requiring human oversight of government algorithms","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article provides a rigorous policy analysis of human oversight, accountability, and algorithmic governance in government contexts, which aligns with governance and regulated-domain themes of the review. However, it does not address conversational AI, chatbots, agents, RAG, or LLM-based systems, limiting its centrality to a review focused on conversational governance in LLM systems.","","","CAND-000037__3fdb584a.pdf","8abecdd548f5e83f2c29b4be98ec1ea0b2e5aca0fa3171a66d94cc773e250f97"
"CAND-000038__29be9f56","Governing Generative AI in Healthcare: A Normative Conceptual Framework for Epistemic Authority, Trust, and the Architecture of Responsibility","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The article directly addresses governance of LLMs in healthcare through a normative framework linking epistemic authority, warranted trust, human oversight, verification tiers, accountability, and regulatory transition (EU AI Act, WHO guidance). It matches the review scope on generative AI governance in regulated conversational/clinical AI contexts.","","","CAND-000038__29be9f56.pdf","e71b71f263c562d465beda93d1bdd4b98117a68239a34e3f90c6e2b63b4a913c"
"CAND-000039__62390369","The EU AI Act: implications and compliance guidance for healthcare facilities","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article centrally addresses EU AI Act compliance governance for healthcare deployers, including human oversight, transparency, risk assessment, and ongoing monitoring. LLMs and chatbots appear as secondary technology examples rather than the primary object of study, so it supports but does not centrally evidence conversational LLM governance.","","","CAND-000039__62390369.pdf","6df370a68f75563fd444f28baa4268b8ccc832dbb7187b3a4bc505df2cafc769"
"CAND-000040__02a9bba6","Current applications and challenges in large language models for patient care: a systematic review","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article is a peer-reviewed systematic review of LLM use in regulated healthcare patient care, with explicit coverage of chatbot-oriented models, safety, bias, and transparency limitations. However, the provided text centers on clinical applications and limitation taxonomies rather than conversational governance mechanisms such as guardrails, observability, audit, human oversight, or accountability frameworks, making it supportive rather than central to the review scope.","","","CAND-000040__02a9bba6.pdf","c3fee1836ddf374d7d862ba04365b63cd64c7987f394948d12b47a71f3d7e000"
"CAND-000041__53824460","Preserving attribution and accountability in AI-scale systems","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article offers a strong conceptual contribution on attribution, accountability, traceability, and governance enablers in AI-scale systems, but the provided text contains no explicit treatment of conversational AI, chatbots, agents, RAG, or LLM-specific operational governance in regulated deployments. It is better suited as foundational/contextual evidence for accountability infrastructure than as central evidence for conversational LLM governance.","","","CAND-000041__53824460.pdf","2c0955769c83fb9bc896fd15298ae72c1edf8c6b359a054489e784615360265f"
"CAND-000042__5d402dcc","unclear","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article provides a structured comparative analysis of AI governance, accountability, human oversight, and supervisory enforceability in banking across nine jurisdictions. It strongly matches regulated-domain and governance dimensions of the review, but the provided text centers on prudential and conduct regulation of algorithmic AI in banking rather than conversational LLM systems, chatbots, agents, RAG, or operational conversational governance mechanisms.","","","CAND-000042__5d402dcc.pdf","382c0c9e7fdb82d6c0114debd67936d73bd690e356e976d43f73d4194fc48e51"
"CAND-000043__cede015d","Navigating the Future of Finance: The Transformative Role of Generative AI","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article synthesises academic and grey literature on GenAI in finance using STM and explicitly addresses ethical governance, regulatory frameworks, accountability, transparency, privacy, and risk in a regulated sector. However, the provided text does not centre conversational AI, chatbots, agents, guardrails, observability, human oversight, or operational governance of LLM-based conversational systems; customer service is mentioned only as an application area.","","","CAND-000043__cede015d.pdf","b284e3506f2dadaed326c5905fb67d074354e616b223b89f4d65dd1a69a615fd"
"CAND-000044__ff93d879","AI ethics in banking services: a systematic and bibliometric review of regulatory and consumer perspectives","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article is a peer-reviewed systematic and bibliometric review synthesizing AI ethics, governance, regulation, and customer impact in banking. It is relevant to regulated-domain AI governance but does not center on LLM-based conversational systems, guardrails, observability, or operational conversational governance; chatbots appear as one customer-facing application among broader banking AI uses.","","","CAND-000044__ff93d879.pdf","56dc796d0899f09b759d05ad76b734e591d7584eca485dbc50dc5aed216cf1b9"
"CAND-000045__9c5651b5","A Guardrail Framework for Sensitive Financial Information Protection: A Taxonomy-Driven Approach","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The paper directly addresses LLM/GenAI guardrails, AI governance standards, risk detection, and compliance in financial services, aligning with operational-technical governance and regulated-domain dimensions of the review. However, the provided text does not frame or evaluate conversational systems, chatbots, dialogue, human oversight, accountability mechanisms, observability, or post-deployment conversational governance; it focuses on domain-specific content-safety guardrails for SFI. Therefore it is better classified as supporting evidence for guardrails and regulated GenAI safety than as central evidence on conversational governance.","","","CAND-000045__9c5651b5.pdf","e1cd40d68a1962dd98c7deb9b766cd2181987df97ef3fe02bd0641a8186af26b"
"CAND-000047__60a8205b","Navigating AI governance for oncology nursing: Existing models, implications, and a Call for nurse-led oversight in Asia Pacific health systems","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article is a peer-reviewed commentary on AI governance for oncology nursing in Asia Pacific health systems. It strongly addresses regulated healthcare governance, human oversight, accountability, risk-based regulation, and lifecycle monitoring, but does not study or propose governance for conversational LLM systems, chatbots, agents, RAG, guardrails, observability, or post-deployment operational controls specific to generative conversational AI. Generative AI appears only in the authors' writing-process declaration.","","","CAND-000047__60a8205b.pdf","8c01ad1fcb4e0e0643b9885b460c598099eca91e599d14209b450eed0ee35eee"
"CAND-000048__6422227a","ConfidentNeuro: Conformal Prediction-Based Uncertainty Quantification for Hallucination Risk Scoring in LLM-Assisted Alzheimer's Clinical Decision Support","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The study directly addresses LLM use in high-stakes Alzheimer's clinical decision support and proposes conformal-prediction-based hallucination risk scoring with calibration and perturbation audits, aligning with governance, risk, and compliance themes in regulated healthcare. However, the provided text contains no evidence of conversational AI, chatbots, agents, dialogue systems, human handoff, contestation, or conversational governance mechanisms, so it is better classified as supporting rather than central evidence for a review focused on conversational governance.","","","CAND-000048__6422227a.pdf","8a6175abce6cf8974968122ff50f4f3b6a55da689ce523e9befdff396fd9adb9"
"CAND-000049__1d176462","AI - Powered Medical Chatbot for Symptom Check","exclude","exclusao","sim","adjudicacao_pipeline","","Although the paper presents a healthcare conversational chatbot in a high-stakes domain, the provided text shows classical ML/NLP methods rather than LLM-based systems and does not discuss governance, guardrails, observability, supervision, contestability, or regulatory compliance. It focuses on system implementation and prediction accuracy.","","","CAND-000049__1d176462.pdf","22d0c24e7000c58170a555aec256dcf5aa56056bf164f633ffcf237f12195d2c"
"CAND-000050__a8038c66","Safety-focused development and evaluation of an LLM sexual well-being chatbot for women: A methods-focused feasibility study","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The article directly designs and evaluates a safety-focused framework for an LLM conversational agent in a sensitive healthcare domain, reporting staged governance mechanisms including clinician oversight, vulnerability testing, risk governance, and monitoring of real-user dialogues at scale.","","","CAND-000050__a8038c66.pdf","619afe857e784573f560d364944680420dd3a51721f890443649f1d9809f4065"
"CAND-000051__f46767a5","Reporting guidelines for chatbot health advice studies: explanation and elaboration for the Chatbot Assessment Reporting Tool (CHART)","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article is a BMJ explanation-and-elaboration reporting guideline for studies evaluating generative AI-driven chatbots providing health advice in healthcare. It directly addresses LLM-based conversational systems in a regulated clinical domain and promotes transparent, comprehensive reporting, but it does not primarily study operational conversational governance mechanisms such as guardrails, human oversight, audit pipelines, or post-deployment monitoring. It is best used as foundational contextual evidence for appraising and reporting chatbot health advice studies rather than as central governance evidence.","","","CAND-000051__f46767a5.pdf","e82ddf1e3269c9a42ded25c42cd9d228e808d9ce5cee070a62348322d46676d0"
"CAND-000052__7a1ee207","Reporting guideline for chatbot health advice studies: the Chatbot Assessment Reporting Tool (CHART) statement","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article develops CHART, a reporting guideline—not an empirical study of conversational governance in deployed LLM systems. It is highly relevant as foundational context for transparent evaluation and reporting of generative-AI chatbot health advice studies, including ethics, disclosures, model identifiers, and harm-related appraisal, but does not directly address operational governance mechanisms such as guardrails, observability, audit logs, human oversight workflows, or post-deployment monitoring.","","","CAND-000052__7a1ee207.pdf","355b9abfe553e655aaee51def129d79739164ad1bc79fda98e98d9f34f371f12"
"CAND-000053__77e2658a","Minimum Reporting Items for Clear Evaluation of Accuracy Reports of Large Language Models in Healthcare (MI-CLEAR-LLM): 2025 Updates","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The provided text describes an updated reporting checklist (MI-CLEAR-LLM) for transparency and reproducibility in studies evaluating LLM accuracy in healthcare. It references chatbot interfaces as an LLM access mode and healthcare as a regulated context, but the primary focus is methodological reporting standards rather than operational conversational governance, guardrails, oversight, audit, or deployment governance.","","","CAND-000053__77e2658a.pdf","9124e9ab45afe101835b0010915d70e22cbfbc33a6f11db2bc6d28eecf562f02"
"CAND-000054__421e7c35","AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article is a conceptual review distinguishing AI Agents from Agentic AI through taxonomy, application mapping, and challenge analysis. The provided text shows strong relevance to LLMs, agents, RAG, explainability, and some regulated-adjacent domains such as medical decision support, but it does not center conversational governance, compliance controls, human oversight mechanisms, auditability, or governance frameworks for regulated conversational systems.","","","CAND-000054__421e7c35.pdf","70a0c89f937f35af4e6af06dff86be7121f67882130d787bdf6cc0ff9730bba7"
"CAND-000055__8c6f9440","Ethical Pluralism in AI Policy: A Framework for Islamic Integration into Global AI Governance","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article offers a conceptual governance framework integrating Maqasid al-Shariah with global AI standards and NIST RMF, which is relevant to normative AI governance and regulated policy contexts. However, the provided text addresses artificial intelligence in general, not LLM-based conversational systems, and does not cover operational conversational governance mechanisms such as guardrails, observability, handoff, or post-deployment monitoring.","","","CAND-000055__8c6f9440.pdf","42eb4fada307dba70a632ccb9788ae5c617479ad876193f4a2bf4322935b05b1"
"CAND-000056__ab00b4d6","Generative AI Chatbot for Diabetes Management: Formative 2-Part Qualitative Study Using DTalksBot Involving Patients and Clinicians","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The study empirically evaluates a GPT-4 RAG chatbot in diabetes care, explicitly aims to identify appropriate boundaries for generative AI chatbot involvement using both patient and clinician perspectives, and includes specialist review of conversation logs for response accuracy in a regulated health context.","","","CAND-000056__ab00b4d6.pdf","ec3d898340e4598577497565d45bb279c48c99e5511a46cd3474d7634a94914b"
