identificador,titulo,classificacao_publicada,status_checkpoint_historico,estudo_id_pipeline,decisao_llm,decisao_consenso,evidencias_validas_pipeline,evidencias_invalidas_pipeline,metodo_verificacao_v2_final,evidencia_verificada,pagina_verificada,secao_verificada,finalidade_evidencia,status_verificacao_v2_final,observacao,alerta_historico_flag,ancora_normalizada_alerta_flag,evidencia_alternativa_alerta_flag,pendencia_flag
CAND-000026__058be75c,Moral Perception and Uncertainty Expression in LLM-Augmented Judicial Practice,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_2aada14fc941,supporting_evidence,supporting_evidence,9,1,correspondencia_literal_normalizada_no_texto_integral,This paper challenges this narrow understanding of uncertainty in LLM-augmented judicial practices.,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000027__b0ec7058,Ethical Considerations in Personal Health Large Language Models,evidencia_central,checkpoint_com_alerta: llm_evidence_not_found,S_9307df7392cd,central_evidence,central_evidence,13,1,correspondencia_literal_normalizada_no_texto_integral,Viewpoint Ethical Considerations in Personal Health Large Language Models,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000028__cc541f1f,"Personal Health Large Language Models and the Negotiation of Medical Authority in Clinical Care: Opportunities, Risks, and Governance",evidencia_central,checkpoint_sem_alerta,S_46eb226a9f3c,central_evidence,central_evidence,10,0,correspondencia_literal_normalizada_no_texto_integral,"Personal health large language models (PH-LLMs) are patient-facing conversational systems that synthesize user-entered information, patient-generated health data, wearable data, and selected personal health records",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000029__e9698737,Review Applications and Concerns of ChatGPT and Other Conversational Large Language Models in Health Care: Systematic Review,evidencia_apoio,checkpoint_sem_alerta,S_b98e605f6656,supporting_evidence,supporting_evidence,10,0,correspondencia_literal_normalizada_no_texto_integral,We followed the guidance of PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) to screen and select peer-reviewed research articles,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000030__03b93195,A systematic review of ethical considerations of large language models in healthcare and medicine,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_10cdfa96f065,supporting_evidence,supporting_evidence,8,2,correspondencia_literal_normalizada_no_texto_integral,A systematic review of ethical considerations of large language models in healthcare and medicine,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000031__1ce54e80,Standardizing and Scaffolding Health Care AI-Chatbot Evaluation: Systematic Review,evidencia_central,checkpoint_sem_alerta,S_c848a86ffb52,central_evidence,central_evidence,12,0,correspondencia_literal_normalizada_no_texto_integral,"Methods: PRISMA (Preferred Reporting Items for Systematic reviews and Meta-Analyses)–guided searches across multiple databases identified 266 records; 152 were screened, 21 full texts were assessed, and 11 frameworks were included.",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000032__3edeb416,Large Language Models for Chatbot Health Advice Studies: A Systematic Review,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_74956c0019b9,supporting_evidence,supporting_evidence,9,1,correspondencia_literal_normalizada_no_texto_integral,To perform a systematic review to examine the reporting variability among peer-reviewed studies evaluating the performance of generative artificial intelligence (AI)–driven chatbots for summarizing evidence and providing health advice,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000033__f793b235,"From COBIT to ISO 42001: Evaluating Cybersecurity Frameworks for Opportunities, Risks, and Regulatory Compliance in Commercializing Large Language Models",evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_47f4f1785a6f,supporting_evidence,supporting_evidence,9,1,correspondencia_literal_normalizada_no_texto_integral,"for the opportunities, risks, and regulatory compliance when adopting Large Language Models (LLMs), using qualitative content analysis and expert validation",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000034__8219c591,Trustworthy Generative AI for Financial Services,evidencia_apoio,checkpoint_sem_alerta,S_346977507ae8,supporting_evidence,supporting_evidence,15,0,correspondencia_literal_normalizada_no_texto_integral,"This work introduces GFT EnterpriseGPT, a regulatory-compliant, trustworthy generative AI (GenAI) platform tailored for the financial services sector.",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000035__c8257b71,Large Language Model Company Policies and Policy Implications in Software Organizations,evidencia_apoio,checkpoint_com_alerta: decision_evidence_conflict|llm_evidence_not_found,S_4d10ae61ec76,supporting_evidence,supporting_evidence,3,5,correspondencia_literal_normalizada_no_texto_integral,The risks associated with adopting large language model chatbots in software organizations highlight the need for clear policies.,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000037__3fdb584a,The flaws of policies requiring human oversight of government algorithms,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_d8326bd935e4,supporting_evidence,supporting_evidence,6,4,correspondencia_literal_normalizada_no_texto_integral,"In this article, I survey 41 policies that prescribe human oversight of government algorithms",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000038__29be9f56,"Governing Generative AI in Healthcare: A Normative Conceptual Framework for Epistemic Authority, Trust, and the Architecture of Responsibility",evidencia_central,checkpoint_sem_alerta,S_eab267deee56,central_evidence,central_evidence,12,0,correspondencia_literal_normalizada_no_texto_integral,Large language models (LLMs) such as ChatGPT are rapidly being integrated into healthcare for tasks ranging from clinical documentation to diagnostic support.,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000039__62390369,The EU AI Act: implications and compliance guidance for healthcare facilities,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_42ecf0347ffe,supporting_evidence,supporting_evidence,8,4,correspondencia_literal_normalizada_no_texto_integral,REVIEWED BY Lars Masanneck,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000040__02a9bba6,Current applications and challenges in large language models for patient care: a systematic review,evidencia_apoio,checkpoint_sem_alerta,S_defbeeb0aba2,supporting_evidence,supporting_evidence,14,0,correspondencia_literal_normalizada_no_texto_integral,this systematic review aims to synthesize current applications and limitations of LLMs in patient care.,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000042__5d402dcc,unclear,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_e303367ee683,supporting_evidence,supporting_evidence,9,3,correspondencia_literal_normalizada_no_texto_integral,"how far do existing regulatory models for AI in banking achieve enforceable accountability, and can proportional oversight mechanisms bridge the persistent gap between normative ambition and institutional capacity?",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000043__cede015d,Navigating the Future of Finance: The Transformative Role of Generative AI,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_1225694bdac1,supporting_evidence,supporting_evidence,9,1,correspondencia_literal_normalizada_no_texto_integral,NAVIGATING THE FUTURE OF FINANCE: THE TRANSFORMATIVE ROLE OF GENERATIVE AI Hassnian Ali and Ahmet Faruk Aysan,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000044__ff93d879,AI ethics in banking services: a systematic and bibliometric review of regulatory and consumer perspectives,evidencia_apoio,checkpoint_sem_alerta,S_963317e11537,supporting_evidence,supporting_evidence,10,0,correspondencia_literal_normalizada_no_texto_integral,"This study employs a multi- method approach comprising a systematic literature review (SLR), bibliometric mapping, and content analysis",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000045__9c5651b5,A Guardrail Framework for Sensitive Financial Information Protection: A Taxonomy-Driven Approach,evidencia_apoio,checkpoint_com_alerta: decision_evidence_conflict|llm_evidence_not_found,S_c4186ccd0ae1,supporting_evidence,supporting_evidence,5,7,evidencia_alternativa_literal_normalizada_no_texto_integral,"while commercial solutions maintained high precision, their recall was substantially lower, indicating many risky instances went undetected. In contrast, our model achieved a recall score of 0.98",1,abstract,synthesis,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,0,1,0
CAND-000048__6422227a,ConfidentNeuro: Conformal Prediction-Based Uncertainty Quantification for Hallucination Risk Scoring in LLM-Assisted Alzheimer's Clinical Decision Support,evidencia_apoio,checkpoint_sem_alerta,S_113ae6978b4a,supporting_evidence,supporting_evidence,10,0,correspondencia_literal_normalizada_no_texto_integral,clinical decision support (CDS) systems built on large language models (LLMs) have become increasingly common in neurological care,2,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000050__a8038c66,Safety-focused development and evaluation of an LLM sexual well-being chatbot for women: A methods-focused feasibility study,evidencia_central,checkpoint_com_alerta: llm_evidence_not_found,S_ef86469e789c,central_evidence,central_evidence,7,4,correspondencia_literal_normalizada_no_texto_integral,This study designed and evaluated a safety-focused framework for an LLM-based sexual well-being chatbot in a mobile application.,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000056__ab00b4d6,Generative AI Chatbot for Diabetes Management: Formative 2-Part Qualitative Study Using DTalksBot Involving Patients and Clinicians,evidencia_central,checkpoint_sem_alerta,S_f386ef8c9d4c,central_evidence,central_evidence,9,0,correspondencia_literal_normalizada_no_texto_integral,"This study was conducted using DTalksBot, a generative AI chatbot powered by GPT-4 (OpenAI) and enhanced with retrieval-augmented generation.",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000060__4ee48a26,Trustworthy Embodied Conversational Agents for Healthcare: A Design Exploration of Embodied Conversational Agents for the periconception period at Erasmus MC,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_a9c292f7ba3f,supporting_evidence,supporting_evidence,7,3,correspondencia_literal_normalizada_no_texto_integral,"Published in: Proceedings of the 5th International Conference on Conversational User Interfaces, CUI 2023",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000062__461df7f0,On the Quest for Effectiveness in Human Oversight: Interdisciplinary Perspectives,evidencia_apoio,checkpoint_sem_alerta,S_b8c116ab1599,supporting_evidence,supporting_evidence,12,0,evidencia_alternativa_literal_normalizada_no_texto_integral,"for human oversight to be effective, the oversight person has to have (a) sufficient causal power with regard to the system and its effects, (b) suitable epistemic access to relevant aspects of the situation, (c) self-control, and (d) fitting intentions for their role.",1,abstract,synthesis,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000063__0222ae7e,Effective Human Oversight of AI-Based Systems: A Signal Detection Perspective on the Detection of Inaccurate and Unfair Outputs,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_aeacf6b23b87,supporting_evidence,supporting_evidence,11,2,correspondencia_literal_normalizada_no_texto_integral,Minds and Machines (2025) 35:1 https://doi.org/10.1007/s11023-024-09701-0,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000072__a83b171c,"Inteligência artificial, precedentes e a Resolução CNJ 615/2025",evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_a69b18e678f9,supporting_evidence,supporting_evidence,8,1,correspondencia_literal_normalizada_no_texto_integral,"O artigo analisa criticamente a Resolução CNJ nº 615/2025, destacando seu papel inovador na regulamentação do uso de inteligência artificial no Poder Judiciário brasileiro.",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000073__9dc791fa,"Technical, legal, and ethical challenges of generative artificial intelligence: an analysis of the governance of training data and copyrights",evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_11477d2ac32f,supporting_evidence,supporting_evidence,9,1,correspondencia_literal_normalizada_no_texto_integral,Pasetti et al. Discover Artificial Intelligence (2025) 5:193 https://doi.org/10.1007/s44163-025-00379-6,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000080__d3fb71b1,An agentic AI framework for ingestion and standardization of single-cell RNA-seq data analysis,evidencia_apoio,checkpoint_com_alerta: decision_evidence_conflict|llm_evidence_not_found,S_6f36427f91f0,supporting_evidence,supporting_evidence,4,6,evidencia_alternativa_literal_normalizada_no_texto_integral,"CellAtria employs a large language model (LLM) to mediate task dispatch across a graph-based, multi-actor execution framework",2,methods,synthesis,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,0,1,0
CAND-000082__53e5dc7a,Assessing the User Experience of an LLM-Based Conversational Assistant in Diabetes Mellitus Care,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_8c98f98464aa,supporting_evidence,supporting_evidence,12,7,correspondencia_literal_normalizada_no_texto_integral,Received: 7 October 2024 / Revised: 18 August 2025 / Accepted: 26 September 2025,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000102__a4826aa7,"Generative AI in healthcare: an implementation science informed translational path on application, integration and governance",evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_2bef22751fcf,supporting_evidence,supporting_evidence,8,2,correspondencia_literal_normalizada_no_texto_integral,DEBATE Open Access,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000137__a94137df,AI-enabled clinical decision support in breast cancer care: a blinded multicenter benchmarking study comparing medically specialized with a general-purpose system,evidencia_apoio,verificada_manual_v2,S_8d11c0969969,borderline,borderline,8,2,correspondencia_literal_normalizada_no_texto_integral,Medically specialized AI systems that have obtained regulatory clearance as medical devices,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000159__32d2e41d,Balancing innovation and risk: artificial intelligence in travel medicine,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_92cdf4f88fd2,supporting_evidence,supporting_evidence,11,1,correspondencia_literal_normalizada_no_texto_integral,"PERSPECTIVE Open Access Tropical Diseases, Travel Medicine and Vaccines",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000163__f72f88c1,Enterprise Generative AI: A Systematic Review of Security Risks and Governance,evidencia_central,checkpoint_com_alerta: llm_evidence_not_found,S_189cdf27c137,central_evidence,central_evidence,9,4,evidencia_alternativa_literal_normalizada_no_texto_integral,"acute vulnerabilities, including prompt injection, Retrieval-Augmented Generation (RAG) corpus poisoning, and excessive agency",2,abstract,synthesis,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,0,1,0
CAND-000166__a9294e17,Mapping the use of large language models in hiring decisions: a scoping review,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_80d26d640d23,supporting_evidence,supporting_evidence,8,5,correspondencia_literal_normalizada_no_texto_integral,TYPE Review PUBLISHED 13 March 2026,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000167__489170e7,Cybersecurity and Privacy Risks of Generative AI Mental-Health Chatbots: A Systematic Review and Regulatory Framework,evidencia_central,checkpoint_sem_alerta,S_f3a0b7281c7c,central_evidence,central_evidence,12,0,correspondencia_literal_normalizada_no_texto_integral,"A PRISMA-guided systematic review was conducted using PubMed, APA PsycNet, and Google Scholar.",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000169__5630aa10,"Retrieval-Augmented Generation (RAG), Generative AI, and Agentic AI Governance: An Integrated Enterprise Governance Prioritization Architecture",evidencia_central,checkpoint_com_alerta: llm_evidence_not_found,S_0a5198b74a5a,central_evidence,central_evidence,12,5,correspondencia_literal_normalizada_no_texto_integral,"Retrieval-Augmented Generation (RAG), Generative AI, and Agentic AI Governance: An Integrated Enterprise Governance Prioritization Architecture",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000170__3973d4b5,"Generative AI in Medicine and Healthcare: A Comprehensive Review of Foundational Technologies, Clinical Applications, and Future Perspectives",evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_8e19e957ea8a,supporting_evidence,supporting_evidence,7,2,correspondencia_literal_normalizada_no_texto_integral,"〔Received Sep. 30, 2025〕 〔Accepted Jan. 23, 2026〕",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000171__3c8ac09d,Privacy-by-Design Framework for Large Language Model Chatbots in Urology,evidencia_central,checkpoint_com_alerta: llm_evidence_not_found,S_a1be94f87532,central_evidence,central_evidence,8,4,correspondencia_literal_normalizada_no_texto_integral,This review presents a privacy-by-design–based technical and governance framework for the safe clinical deployment of large language model (LLM) chatbots in urology.,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000172__c4eb8ecc,Expert perspectives on the ecosystem of medical AI oversight in the GenAI era,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_32212f267abd,supporting_evidence,supporting_evidence,4,4,correspondencia_literal_normalizada_no_texto_integral,"we explore how the oversight of generative AI (GenAI) and large language model (LLM)-enabled medical devices extends beyond the remit of any single regulator, requiring coordination among government agencies, health systems, and practicing clinicians",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000173__af0d8373,Development and validation of an artificial intelligence proof-of-concept tool for risk-based quality assessment of generic medicines: a South African case study,evidencia_apoio,checkpoint_sem_alerta,S_de6a8ff614cf,supporting_evidence,supporting_evidence,10,0,correspondencia_literal_normalizada_no_texto_integral,The system employed Retrieval- Augmented Generation (RAG) architecture with Meta’s Llama 3.1 large language model,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000176__d5002468,A review for navigating the trade-offs: evaluating open-source and proprietary large language models for clinical and biomedical information extraction,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_6925586c4cd1,supporting_evidence,supporting_evidence,10,2,correspondencia_literal_normalizada_no_texto_integral,A review for navigating the trade-offs: evaluating open-source and proprietary large language models for clinical and biomedical information extraction,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000177__90ef9569,AI-driven framework for contract risk automation and compliance in Oracle CPQ,evidencia_apoio,checkpoint_sem_alerta,S_3958a866684f,supporting_evidence,supporting_evidence,12,0,correspondencia_literal_normalizada_no_texto_integral,Soma R. AI‑driven framework for contract risk automation and compliance in oracle CPQ. Sci Rep (2026). https://doi.org/10.1038/s41598-026-55942-7,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
