"identificador","titulo","autores","ano","veiculo","doi_ou_url","fonte_recuperacao","estrategia","decisao_fonte","classificacao_publicada","setor","camadas","arquivo_pdf","hash_pdf","status_evidencia","observacao_reconciliacao"
"CAND-000163__f72f88c1","Enterprise Generative AI: A Systematic Review of Security Risks and Governance","Audrey Rah","2026","Research Square (preprint)","10.21203/rs.3.rs-9890887/v1","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","enterprise/commercial organizations (United States focus)","deployment/platform | governance | operational lifecycle | security/risk | standards/compliance","CAND-000163__f72f88c1.pdf","57970e0e6c968df95745abe6129b1ca944a37ea46d4c356ee83bb8833a5149a7","llm_evidence_not_found",""
"CAND-000167__489170e7","Cybersecurity and Privacy Risks of Generative AI Mental-Health Chatbots: A Systematic Review and Regulatory Framework","Suhila Sawesi, Hemalatha Sabbineni, Rajashekhar Reddy Shagamreddy, Budur Rashrash","2026","Journal of Multidisciplinary Healthcare","10.2147/JMDH.S581251","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","mental health care / healthcare","application_layer | clinical_safety_layer | cybersecurity_controls_layer | deployment_platform_layer | privacy_preservation_layer | regulatory_compliance_layer","CAND-000167__489170e7.pdf","0f3979066190373d509caa7e549822fc7c61f89f0d969d0448161f5ba0dc90f2","verificada conforme registro",""
"CAND-000169__5630aa10","Retrieval-Augmented Generation (RAG), Generative AI, and Agentic AI Governance: An Integrated Enterprise Governance Prioritization Architecture","Audrey Rah; Sven Hahues","2026","Research Square (preprint)","10.21203/rs.3.rs-10012178/v1","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","Enterprise AI across multiple sectors including government, healthcare, and financial institutions","agentic governance framework | executive decision support | maturity model | platform taxonomy | prioritization scoring | risk taxonomy","CAND-000169__5630aa10.pdf","cd180f1db361af3309a6aa12d5f46fb171fa4539d1b1417905f5aeff0865ae8a","llm_evidence_not_found",""
"CAND-000171__3c8ac09d","Privacy-by-Design Framework for Large Language Model Chatbots in Urology","Eun Joung Kim; JungYoon Kim","2025","International Neurourology Journal (Journal of Korean Continence Society)","10.5213/inj.2550274.137","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","healthcare_urology","data_layer_deidentification | governance_layer_audit_traceability_compliance | inference_layer_on_premise | retrieval_layer_secure_RAG | training_layer_federated_learning","CAND-000171__3c8ac09d.pdf","4738dcdbe2da3ed41af4270e78116136aa71aebe0acb0de43d0206daf6a3a8f7","llm_evidence_not_found",""
"CAND-000246__e1e9c6d5","Methodological foundations of AI observability for enterprise LLM applications","Venkatesh Gundu","2025","International Journal Of Engineering And Computer Science Volume 14 Issue 10","10.18535/ijecs/v14i10.5277","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","enterprise","cost and performance | quality and semantics | responsibility and ethics | security and privacy","CAND-000246__e1e9c6d5.pdf","e3df6ef50a17cb4bd7e02775ddf844ae657ab1f12e7f975be735ce7738ddd746","verificada conforme registro",""
"CAND-000249__08d85b6f","Observability for LLM apps: what to log, privacy-safe telemetry, KPIs","Prasad Maderamitla; Subba Rao Katragadda","2026","Frontiers in Computer Science and Artificial Intelligence","10.32996/fcsai","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","enterprise software","execution layer | interaction layer | performance layer | safety layer","CAND-000249__08d85b6f.pdf","f41476fb751cc92c5429b79400e148a801a743c2997af04dc741168cbbe852c8","verificada conforme registro",""
"CAND-000358__c1d0c8ae","Conversational AI for perinatal mental health: promise, limits, and a human-AI stepped-care framework","Haiyan Yang and Dong-Mei Lin","2026","Frontiers in Psychiatry","10.3389/fpsyt.2026.1847854","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","healthcare","companionship | crisis escalation with human-in-the-loop | deterministic crisis override layer | navigation | relational interface layer | routine monitoring with human-on-the-loop | sentinel monitoring | symptom interpretation","CAND-000358__c1d0c8ae.pdf","ba1058b4e8d960e4afbab3f19e7ac0452bbfc039b92d28a27dd370220779d6c0","llm_evidence_not_found",""
"CAND-000459__36d046f6","Generative AI as interactional infrastructure for meaning-centered care in later life","Bing Chen and An-Yue Jin","2026","Frontiers in Psychiatry","10.3389/fpsyt.2026.1883962","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","mental health and public mental health for older adults","Connecting | Governing | Narrating | Sensing","CAND-000459__36d046f6.pdf","b9283d135e9f62b375749e53fea8c4cb2416ae93860cde4a41ce79edb1b2ea66","llm_evidence_not_found",""
"CAND-000493__96b4fc79","Bridging the gap: a practical step-by-step approach to warrant safe implementation of large language models in healthcare","Jessica D. Workum, Davy van de Sande, Diederik Gommers, Michel E. van Genderen","2025","Frontiers in Artificial Intelligence","10.3389/frai.2025.1504805","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","healthcare","domain adaptation | evaluation | governance | privacy and safety","CAND-000493__96b4fc79.pdf","8c926760e64bf8f2b83e324df2d6d5fc5c2ace34525700033fec66af69d037bb","llm_evidence_not_found",""
"CAND-000704__1238b2f3","Audit Trails for Accountability in Large Language Models","Victor Ojewale; Harini Suresh; Suresh Venkatasubramanian","2026","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","healthcare, finance, employment, public services","LLM workflow instrumentation layer | audit/logging layer | governance layer | storage and auditor interface layer","CAND-000704__1238b2f3.pdf","4e2243656bb0bb7529e46de41603d651622c7e3bd04cc9b001d8eb29ccf0f149","verificada conforme registro",""
"CAND-000721__5ba14ce5","Who judges the judges? Governance from metrics: a runtime framework for continuous LLM compliance monitoring","Jehanne Dussert","2026","arXiv preprint","unclear","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","Regulated environments; EU regulatory and public-sector contexts referenced (EU AI Act, GDPR, ANSSI, accessibility)","evaluator/judge panel | human gate and escalation | observability and tracing | routing architecture","CAND-000721__5ba14ce5.pdf","42e1f3f8286d75aa7f618625b5d9eff09a053aeb19be956d2d1b71b2280ca150","verificada conforme registro",""
"CAND-000725__f8c9fd58","AI Trust OS — A Continuous Governance Framework for Autonomous AI Observability and Zero-Trust Compliance in Enterprise Environments","Eranga Bandara, Asanga Gunaratna, Ross Gore, Abdul Rahman, Ravi Mukkamala, Sachin Shetty, Sachini Rajapakse, Isurunima Kularathna, Peter Foytik, Safdar H. Bouk, Xueping Liang, Amin Hass, Ng Wee Keong, Kasun De Zoysa","2026","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","enterprise","Layer 1: Zero-Trust Telemetry Boundary | Layer 2: core governance modules | Layer 3: predictive intelligence and LLM-generated compliance documentation | Layer 4: governance outputs to regulators, auditors, and enterprise buyers","CAND-000725__f8c9fd58.pdf","074c380ac5a9a4404f3eb7cd4db3b012c9e0498c574fd097e649daf72a5c7628","llm_evidence_not_found",""
"CAND-001202__5c7e0c42","Balancing risks and benefits: clinicians' perspectives on the use of generative AI chatbots in mental healthcare","Lyndsey Hipgrave, Jessie Goldie, Simon Dennis, Amanda Coleman","2025","Frontiers in Digital Health","10.3389/fdgth.2025.1606291","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","mental healthcare","conversational_ai_interface | regulated_healthcare_context | risk_assessment | stakeholder_perspective","CAND-001202__5c7e0c42.pdf","e989f2d220830b08ead93833534aa505ce1ffd83947014eb19eadf8c879ff826","llm_evidence_not_found",""
"CAND-000013__0067a2ed","Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival","Sylvie Delacroix","2025","Minds and Machines","10.1007/s11023-025-09736-x","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","democratic governance; public/institutional technology design","community_participation | institutional_governance | interface_design | uncertainty_communication","CAND-000013__0067a2ed.pdf","f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561","llm_evidence_not_found",""
"CAND-000016__724f80fd","A dynamic contextual responsibility framework for evaluating large language models in socio-technical contexts","Ayodeji Olusegun Ibitoye; Deepika Roselind Johnson; Babafemi Gabriel Sorinolu; Rita Orji; Abikoye Oluwakemi Christiana","2026","AI and Ethics","10.1007/s43681-026-01072-9","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare, law, education, policy/regulatory","behavioural properties | contextual grounding | ethical foundations | governance mechanisms | temporal dynamics","CAND-000016__724f80fd.pdf","e91808d8dd3f8bc3ee2784a1eff899b3a3e03ac01e972bfdf71b21adb10138b5","verificada conforme registro",""
"CAND-000021__dd66cb05","Large Language Model–Based Chatbots and Agentic AI for Mental Health Counseling: Systematic Review of Methodologies, Evaluation Frameworks, and Ethical Safeguards","Ha Na Cho, MS; Jiayuan Wang, BS; Di Hu, MS; Kai Zheng, PhD","unclear","unclear","10.2196/80348","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","digital mental health; healthcare","deployment_layer | ethics_governance_layer | evaluation_layer | monitoring_validation_layer","CAND-000021__dd66cb05.pdf","8473c1a94da210b3a5ba7e3a0197c407e6af809676975c84be8b890de06f814b","verificada conforme registro",""
"CAND-000022__87095cb8","Barriers and Facilitators to the Use of Large Language Model-Based Conversational Agents in Mental Healthcare: A Systematic Review","Ravi Shankar; Amaevia Lim; Qian Xu","2026","Healthcare","10.3390/healthcare14101267","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","mental healthcare","deployment_process | monitoring_and_evaluation | oversight | regulatory_compliance | safety_evaluation","CAND-000022__87095cb8.pdf","cd5be1b74b93206709eb0037709bdd4c32b641f32672ae4c2fb921daf97d7eb4","verificada conforme registro",""
"CAND-000023__664064c6","From Documents to Decisions: Enterprise-Grade LLM Systems for Zero-Hallucination, Attributed Generation, and Regulatory Alignment","Yenjou Wang; Chihtan Cheng; Jia-Wei Chang","2026","Computer Modeling in Engineering & Sciences","10.32604/cmes.2026.080888","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","enterprise AI across regulated domains including finance and healthcare","governance | perception | reasoning | verification","CAND-000023__664064c6.pdf","c66fba11ca3ac295e7f1c6b61d89a2819cea5594c40a06cd4542cff7c0804eec","verificada conforme registro",""
"CAND-000025__c8bbc63b","Large language models for clinical artificial intelligence in healthcare: a systematic review","Rawan Ghnemat; Amro Saleh","2026","Discover Artificial Intelligence","10.1007/s44163-025-00784-x","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","deployment in medical workflows | policy and compliance | technical foundations","CAND-000025__c8bbc63b.pdf","2ae228ce7fffd26442b81dcfc212ecd479943b03b84f18a820ffa6b7b5594d17","verificada conforme registro",""
"CAND-000026__058be75c","Moral Perception and Uncertainty Expression in LLM-Augmented Judicial Practice","Sylvie Delacroix","2025","Minds and Machines","10.1007/s11023-025-09744-x","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","judicial/legal","human perceptual/oversight layer | institutional infrastructure | tool design/expression layer","CAND-000026__058be75c.pdf","3ac04680bc860a5fbd566a239a4b9230f64f1c2e20431d681437d9e75809cce1","llm_evidence_not_found",""
"CAND-000029__e9698737","Review Applications and Concerns of ChatGPT and Other Conversational Large Language Models in Health Care: Systematic Review","Leyao Wang; Zhiyu Wan; Congning Ni; Qingyuan Song; Yang Li; Ellen Clayton; Bradley Malin; Zhijun Yin","2024","Journal of Medical Internet Research","10.2196/22769","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","health care","application layer | concern/risk layer","CAND-000029__e9698737.pdf","07601d6e5fd3c9bae0ef31a412e9f2f2c37120b8cea736b89568536cc6687389","verificada conforme registro",""
"CAND-000030__03b93195","A systematic review of ethical considerations of large language models in healthcare and medicine","Muhammad Fareed, Madeeha Fatima, Jamal Uddin, Adeel Ahmed, Muhammad Awais Sattar","2025","Frontiers in Digital Health","10.3389/fdgth.2025.1653631","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare and medicine","clinical workflow integration | ethical principles | policy and policymaker guidance","CAND-000030__03b93195.pdf","b93dfc1d039367cca5171b3ea7337f140617b71acfbf3f7705ab72123382e956","llm_evidence_not_found",""
"CAND-000032__3edeb416","Large Language Models for Chatbot Health Advice Studies: A Systematic Review","Bright Huo, MD; Amy Boyle, BSc; Nana Marfo, MD; Wimonchat Tangamornsuksan, PharmD, PhD; Jeremy P. Steen, MSc; Tyler McKechnie, MD; Yung Lee, MD; Julio Mayol, MD; Stavros A. Antoniou, MD; Arun James Thirunavukarasu, MB BChir; Stephanie Sanger, BSc; Karim Ramji, MD; Gordon Guyatt, MD","2025","JAMA Network Open","10.1001/jamanetworkopen.2024.57879","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","health care","clinical deployment context | evaluation and reporting layer","CAND-000032__3edeb416.pdf","324de04365c254c5ecdd934a4d885907243d3ba077aadea9e04d6298b9aede62","llm_evidence_not_found",""
"CAND-000033__f793b235","From COBIT to ISO 42001: Evaluating Cybersecurity Frameworks for Opportunities, Risks, and Regulatory Compliance in Commercializing Large Language Models","Timothy R. McIntosh, Teo Susnjak, Tong Liu, Paul Watters, Raza Nowrozy, Malka N. Halgamuge","unclear","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","diverse organizational sectors","compliance | governance | oversight | risk","CAND-000033__f793b235.pdf","4b54b8ab4f63d7da9ad4b823a61d20347d2d17e6fa160b7fb1159fbdae146a7f","llm_evidence_not_found",""
"CAND-000034__8219c591","Trustworthy Generative AI for Financial Services","Marc-André Zöller; Anastasiia Iurshina; Ines Röder","2024","Symposium on Scaling AI Assessments (SAIA 2024), OASIcs","10.4230/OASIcs.SAIA.2024.2","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","financial services","context_augmentation | grounding_mechanisms | input_guardrails | output_guardrails | privacy_controls","CAND-000034__8219c591.pdf","aaeda1a044ad7726958ffe90c5184316b684183b0e23c81a539608a241e14ecd","verificada conforme registro",""
"CAND-000035__c8257b71","Large Language Model Company Policies and Policy Implications in Software Organizations","Ranim Khojah; Mazen Mohamad; Linda Erlenhov; Francisco Gomes de Oliveira Neto; Philipp Leitner","2025","IEEE Software","10.1109/MS.2025.3622039","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","software development organizations","human oversight via management roles | organizational governance | policy layer","CAND-000035__c8257b71.pdf","b5173807c73297c3cf6ef261fb86150b646472f682949bc3466db3a81051944d","decision_evidence_conflict|llm_evidence_not_found",""
"CAND-000037__3fdb584a","The flaws of policies requiring human oversight of government algorithms","Ben Green","2022","Computer Law & Security Review","10.1016/j.clsr.2022.105681","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","public sector / government","democratic approval layer | institutional governance layer | policy layer","CAND-000037__3fdb584a.pdf","8abecdd548f5e83f2c29b4be98ec1ea0b2e5aca0fa3171a66d94cc773e250f97","llm_evidence_not_found",""
"CAND-000039__62390369","The EU AI Act: implications and compliance guidance for healthcare facilities","Fabio Dennstädt, Janna Hastings, Paul Windisch, Aleksa Jovanovic, Tijana Žunić Marič, Sarah Brüningk, Daniel M. Aebersold, Antje Knopf, Nikola Cihoric","2026","Frontiers in Digital Health","10.3389/fdgth.2026.1808373","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","legal/regulatory | operational deployment | organizational governance | post-deployment monitoring | risk management","CAND-000039__62390369.pdf","6df370a68f75563fd444f28baa4268b8ccc832dbb7187b3a4bc505df2cafc769","llm_evidence_not_found",""
"CAND-000040__02a9bba6","Current applications and challenges in large language models for patient care: a systematic review","Felix Busch, Lena Hoffmann, Christopher Rueger, Elon HC van Dijk, Rawen Kader, Esteban Ortiz-Prado, Marcus R. Makowski, Luca Saba, Martin Hadamitzky, Jakob Nikolas Kather, Daniel Truhn, Renato Cuocolo, Lisa C. Adams, Keno K. Bressem","2024","Communications Medicine","10.1038/s43856-024-00717-2","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application layer | design/data layer | output quality layer","CAND-000040__02a9bba6.pdf","c3fee1836ddf374d7d862ba04365b63cd64c7987f394948d12b47a71f3d7e000","verificada conforme registro",""
"CAND-000042__5d402dcc","unclear","Ignacio Olmeda","2026","Journal of Banking Regulation","10.1057/s41261-026-00320-6","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","banking","macro | meso | micro","CAND-000042__5d402dcc.pdf","382c0c9e7fdb82d6c0114debd67936d73bd690e356e976d43f73d4194fc48e51","llm_evidence_not_found",""
"CAND-000043__cede015d","Navigating the Future of Finance: The Transformative Role of Generative AI","Hassnian Ali; Ahmet Faruk Aysan","2026","Journal of Central Banking Law and Institutions","10.21098/jcli.v5i1.431","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","financial services","organisational_risk_ethics_layer | policy_regulatory_layer","CAND-000043__cede015d.pdf","b284e3506f2dadaed326c5905fb67d074354e616b223b89f4d65dd1a69a615fd","llm_evidence_not_found",""
"CAND-000044__ff93d879","AI ethics in banking services: a systematic and bibliometric review of regulatory and consumer perspectives","McArthur Fundira; Charles Mbohwa","2025","Discover Artificial Intelligence","10.1007/s44163-025-00432-4","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","banking; financial services","customer interaction layer | organizational governance layer | policy/regulatory layer","CAND-000044__ff93d879.pdf","56dc796d0899f09b759d05ad76b734e591d7584eca485dbc50dc5aed216cf1b9","verificada conforme registro",""
"CAND-000045__9c5651b5","A Guardrail Framework for Sensitive Financial Information Protection: A Taxonomy-Driven Approach","Mehdi Yekrangi; Houssem Chatbri; Claudia Beatrice Chianella; Owen O'Neill","2026","The Fortieth AAAI Conference on Artificial Intelligence (AAAI-26)","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","financial services","input_guardrails | output_guardrails | policy_alignment | risk_detection","CAND-000045__9c5651b5.pdf","e1cd40d68a1962dd98c7deb9b766cd2181987df97ef3fe02bd0641a8186af26b","decision_evidence_conflict|llm_evidence_not_found",""
"CAND-000048__6422227a","ConfidentNeuro: Conformal Prediction-Based Uncertainty Quantification for Hallucination Risk Scoring in LLM-Assisted Alzheimer's Clinical Decision Support","Afreen Khan; Samreen Khan; Mudassir Khan; Mazliham Mohd Su'ud; Muhammad Mansoor Alam; Saurav Mallik","2026","Research Square","10.21203/rs.3.rs-9707462/v1","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","deployment safety | monitoring and audit | risk control","CAND-000048__6422227a.pdf","8a6175abce6cf8974968122ff50f4f3b6a55da689ce523e9befdff396fd9adb9","verificada conforme registro",""
"CAND-000060__4ee48a26","Trustworthy Embodied Conversational Agents for Healthcare: A Design Exploration of Embodied Conversational Agents for the periconception period at Erasmus MC","Maria Luce Lupetti, Emma Hagens, Willem van der Maden, Régine Steegers, Melek Rousian","2023","Proceedings of the 5th International Conference on Conversational User Interfaces, CUI 2023","10.1145/3571884.3597128","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","interaction design | user trust perception","CAND-000060__4ee48a26.pdf","93275417e53801a8a1463bc5396782eb478bc76b5ccb43cadfa7cd0b46777962","llm_evidence_not_found",""
"CAND-000062__461df7f0","On the Quest for Effectiveness in Human Oversight: Interdisciplinary Perspectives","Sarah Sterz; Kevin Baum; Sebastian Biewer; Holger Hermanns; Anne Lauber-Rönsberg; Philip Meinel; Markus Langer","2024","ACM Conference on Fairness, Accountability, and Transparency (ACM FAccT '24)","10.1145/3630106.3659051","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","high-risk AI applications; regulatory policy","environmental circumstances | individual factors of oversight persons | oversight person | regulatory framework | technical design of the system","CAND-000062__461df7f0.pdf","9e64702f8323b5249a7e17ee66bb21250f17c115455f1bcdc3966a5ce346f813","verificada conforme registro",""
"CAND-000063__0222ae7e","Effective Human Oversight of AI-Based Systems: A Signal Detection Perspective on the Detection of Inaccurate and Unfair Outputs","Markus Langer; Kevin Baum; Nadine Schlicker","2025","Minds and Machines","10.1007/s11023-024-09701-0","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","high-risk AI decision contexts including hiring, medical decision-making, and judicial decision-making","error detection mechanism | oversight governance | person factors | system factors | task factors","CAND-000063__0222ae7e.pdf","f7112ab057a7be0a60c3535dc4e41c615f682cb7420312139e5b319d5206eaa9","llm_evidence_not_found",""
"CAND-000072__a83b171c","Inteligência artificial, precedentes e a Resolução CNJ 615/2025","Anderson de Paiva Gabriel; Fabio Ribeiro Porto; Valter Shuenquener de Araújo","2025","Revista da EMERJ","10.70622/2236-8957.2025.649","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","Poder Judiciário brasileiro","camada institucional de governança | camada regulatória/normativa | camada ética e de direitos fundamentais","CAND-000072__a83b171c.pdf","5efa434b103c7ba18338bbfc009d45e07a54d078b7c6b44328555350abdea60f","llm_evidence_not_found",""
"CAND-000073__9dc791fa","Technical, legal, and ethical challenges of generative artificial intelligence: an analysis of the governance of training data and copyrights","Marcelo Pasetti; James William Santos; Nicholas Kluge Corrêa; Nythamar de Oliveira; Camila Palhares Barbosa","2025","Discover Artificial Intelligence","10.1007/s44163-025-00379-6","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","cross-sector legal and policy analysis","intellectual property | legal-regulatory | training data","CAND-000073__9dc791fa.pdf","3876e54595c5fdb8b0cf3273b11e0ff0db5f0082b82eda41a1210da22e9a9826","llm_evidence_not_found",""
"CAND-000080__d3fb71b1","An agentic AI framework for ingestion and standardization of single-cell RNA-seq data analysis","Nima Nouri, Ronen Artzi, Virginia Savova","2026","npj Artificial Intelligence","10.1038/s44387-025-00064-0","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","biomedical research, pharmaceutical single-cell RNA sequencing","analysis pipeline layer | interaction layer | orchestration layer | tool execution layer","CAND-000080__d3fb71b1.pdf","00b11b46a99f6700f8d293f08274e18456f00c53a658c34b2aac76166ef36c20","decision_evidence_conflict|llm_evidence_not_found",""
