fonte,familia_consulta,periodo_execucao,estado_cobertura,limite_solicitado,total_reportado_api,resultados_retornados,resultados_armazenados,apos_deduplicacao,texto_completo_obtido,incluidos_corpus_analitico,falhas_ou_limitacoes,compensacao,status_preservacao_dado
CORE,ambientes regulados,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,heterogeneidade de repositórios,validação de texto completo e metadados,ausente nos logs preservados; não reconstruído
CORE,supervisão humana e contestabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,heterogeneidade de repositórios,validação de texto completo e metadados,ausente nos logs preservados; não reconstruído
arXiv,governança de LLMs,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,falhas de tempo de resposta,recuperação por fontes alternativas e snowballing,ausente nos logs preservados; não reconstruído
arXiv,LLMOps e observabilidade,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,falhas de tempo de resposta,recuperação por fontes alternativas e snowballing,ausente nos logs preservados; não reconstruído
arXiv,governança conversacional,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,falhas de tempo de resposta,recuperação por fontes alternativas e snowballing,ausente nos logs preservados; não reconstruído
arXiv,ambientes regulados,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,falhas de tempo de resposta,recuperação por fontes alternativas e snowballing,ausente nos logs preservados; não reconstruído
arXiv,supervisão humana e contestabilidade,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,falhas de tempo de resposta,recuperação por fontes alternativas e snowballing,ausente nos logs preservados; não reconstruído
DOAJ,governança de LLMs,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,cobertura restrita a acesso aberto,triangulação com as demais fontes,ausente nos logs preservados; não reconstruído
DOAJ,LLMOps e observabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,cobertura restrita a acesso aberto,triangulação com as demais fontes,ausente nos logs preservados; não reconstruído
DOAJ,governança conversacional,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,cobertura restrita a acesso aberto,triangulação com as demais fontes,ausente nos logs preservados; não reconstruído
DOAJ,ambientes regulados,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,cobertura restrita a acesso aberto,triangulação com as demais fontes,ausente nos logs preservados; não reconstruído
DOAJ,supervisão humana e contestabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,cobertura restrita a acesso aberto,triangulação com as demais fontes,ausente nos logs preservados; não reconstruído
