"fonte","familia","consulta_canonica","consulta_operacional","corte_publicacao","limite_inicial","estado","resultados_recuperados","total_reportado","inicio_utc","fim_utc","hash_resposta","erro_ou_limitacao"
"CORE","C_governanca_conversacional","(""conversational AI"" OR chatbot OR ""AI agent"" OR ""conversational agent"") AND (""large language model"" OR LLM OR ""generative AI"") AND (governance OR oversight OR accountability)","conversational AI chatbot AI agent large language model governance oversight accountability","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:30+00:00","2026-08-22T21:17:30+00:00","","RuntimeError: CORE_API_KEY ausente"
"CORE","D_ambientes_regulados","(""large language model"" OR LLM OR ""generative AI"") AND (regulated OR healthcare OR finance OR government OR legal OR insurance) AND (risk OR audit OR compliance OR governance)","large language model generative AI regulated healthcare finance government legal insurance risk compliance governance","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:30+00:00","2026-08-22T21:17:30+00:00","","RuntimeError: CORE_API_KEY ausente"
"CORE","E_supervisao_e_contestabilidade","(""large language model"" OR LLM OR chatbot) AND (""human oversight"" OR ""human-in-the-loop"" OR contestability OR redress OR appeal OR escalation OR handoff)","large language model chatbot human oversight human in the loop contestability redress appeal escalation handoff","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:30+00:00","2026-08-22T21:17:30+00:00","","RuntimeError: CORE_API_KEY ausente"
"arXiv","A_governanca_de_llms","(""large language model"" OR LLM OR ""generative AI"") AND (governance OR accountability OR compliance OR audit OR risk)","large language model generative AI governance accountability compliance audit risk","2026-07-31","100","executada","1","1","2026-08-22T21:17:31+00:00","2026-08-22T21:17:31+00:00","9fbf226954f2402a169bd9ec34df6a5feb6da5597fa4dc61fe7bda0bfc53be77",""
"arXiv","B_llmops_e_observabilidade","(LLMOps OR ""LLM observability"" OR ""large language model monitoring"" OR guardrails) AND (governance OR compliance OR audit)","LLMOps observability monitoring guardrails governance compliance audit","2026-07-31","100","executada","0","0","2026-08-22T21:17:31+00:00","2026-08-22T21:17:32+00:00","7b5a904cb6aa9d33d277fe3f4d1cfd7b6e256730546b1ea7dc1c85dd5a2cf55c",""
"arXiv","C_governanca_conversacional","(""conversational AI"" OR chatbot OR ""AI agent"" OR ""conversational agent"") AND (""large language model"" OR LLM OR ""generative AI"") AND (governance OR oversight OR accountability)","conversational AI chatbot AI agent large language model governance oversight accountability","2026-07-31","100","executada","0","0","2026-08-22T21:17:32+00:00","2026-08-22T21:17:32+00:00","0b6f07425c9cbf5ac473d181ef08f06401b1e1b564359c21c90931d7f00cb0f8",""
"arXiv","D_ambientes_regulados","(""large language model"" OR LLM OR ""generative AI"") AND (regulated OR healthcare OR finance OR government OR legal OR insurance) AND (risk OR audit OR compliance OR governance)","large language model generative AI regulated healthcare finance government legal insurance risk compliance governance","2026-07-31","100","executada","0","0","2026-08-22T21:17:33+00:00","2026-08-22T21:17:33+00:00","641a9b8e76fd22a4fce0a8a1ceaf66019f91a2efdf152d5c9f173051e905d82f",""
"arXiv","E_supervisao_e_contestabilidade","(""large language model"" OR LLM OR chatbot) AND (""human oversight"" OR ""human-in-the-loop"" OR contestability OR redress OR appeal OR escalation OR handoff)","large language model chatbot human oversight human in the loop contestability redress appeal escalation handoff","2026-07-31","100","executada","0","0","2026-08-22T21:17:33+00:00","2026-08-22T21:17:33+00:00","a19f63ed275aa8401704f125d089fbe8fbad9ea59133bde72c1a93e677bbada1",""
"DOAJ","A_governanca_de_llms","(""large language model"" OR LLM OR ""generative AI"") AND (governance OR accountability OR compliance OR audit OR risk)","large language model generative AI governance accountability compliance audit risk","2026-07-31","100","executada","0","0","2026-08-22T21:17:34+00:00","2026-08-22T21:17:34+00:00","dea95109af8c9a3eb75a8ed01fe0480818947035a14062dc452202c84449bc4f",""
"DOAJ","B_llmops_e_observabilidade","(LLMOps OR ""LLM observability"" OR ""large language model monitoring"" OR guardrails) AND (governance OR compliance OR audit)","LLMOps observability monitoring guardrails governance compliance audit","2026-07-31","100","executada","0","0","2026-08-22T21:17:34+00:00","2026-08-22T21:17:35+00:00","a69347137716a58d4e4914647aa95067a4f6b20d41a080b7ab82706cb8d1bdc1",""
"DOAJ","C_governanca_conversacional","(""conversational AI"" OR chatbot OR ""AI agent"" OR ""conversational agent"") AND (""large language model"" OR LLM OR ""generative AI"") AND (governance OR oversight OR accountability)","conversational AI chatbot AI agent large language model governance oversight accountability","2026-07-31","100","executada","0","0","2026-08-22T21:17:35+00:00","2026-08-22T21:17:36+00:00","c6ef72a0b7c87f923eee83ad9aa33ff9b59de742a158364de7fd2cfeaaf218c0",""
"DOAJ","D_ambientes_regulados","(""large language model"" OR LLM OR ""generative AI"") AND (regulated OR healthcare OR finance OR government OR legal OR insurance) AND (risk OR audit OR compliance OR governance)","large language model generative AI regulated healthcare finance government legal insurance risk compliance governance","2026-07-31","100","executada","0","0","2026-08-22T21:17:36+00:00","2026-08-22T21:17:36+00:00","4cda223e555d87ccd4cbeaba6f759d969fb11128aa03302ede9a4a6959bd25ae",""
"DOAJ","E_supervisao_e_contestabilidade","(""large language model"" OR LLM OR chatbot) AND (""human oversight"" OR ""human-in-the-loop"" OR contestability OR redress OR appeal OR escalation OR handoff)","large language model chatbot human oversight human in the loop contestability redress appeal escalation handoff","2026-07-31","100","executada","0","0","2026-08-22T21:17:37+00:00","2026-08-22T21:17:37+00:00","093f40e176b39dfd8b706e262a88a8732a6062f08ca55d639fbeb5d36df128ad",""
